colname,score,rank
yearsExperience_bin_4-degree_MASTERS,0.0,220
yearsExperience_bin_4-degree_NONE,0.0,221
yearsExperience_bin_4-major_NONE,0.0,222
yearsExperience_bin_4-industry_AUTO,0.0,223
yearsExperience_bin_4-industry_EDUCATION,0.0,224
yearsExperience_bin_4-industry_FINANCE,0.0,225
yearsExperience_bin_4-industry_OIL,0.0,226
milesFromMetropolis_bin_0-degree_HIGH_SCHOOL,0.0,227
yearsExperience_bin_4-industry_SERVICE,0.0,228
yearsExperience_bin_4-industry_WEB,0.0,229
milesFromMetropolis_bin_0-jobType_CEO,0.0,230
milesFromMetropolis_bin_0-jobType_CTO,0.0,231
milesFromMetropolis_bin_0-jobType_JANITOR,0.0,232
milesFromMetropolis_bin_0-jobType_JUNIOR,0.0,233
milesFromMetropolis_bin_0-jobType_MANAGER,0.0,234
milesFromMetropolis_bin_0-jobType_VICE_PRESIDENT,0.0,235
milesFromMetropolis_bin_0-major_NONE,0.0,236
milesFromMetropolis_bin_1-industry_OIL,0.0,237
milesFromMetropolis_bin_1-industry_HEALTH,0.0,238
milesFromMetropolis_bin_1-jobType_JUNIOR,0.0,239
milesFromMetropolis_bin_4-industry_FINANCE,0.0,240
milesFromMetropolis_bin_4-industry_EDUCATION,0.0,241
milesFromMetropolis_bin_0-industry_AUTO,0.0,242
milesFromMetropolis_bin_0-industry_EDUCATION,0.0,243
milesFromMetropolis_bin_0-industry_FINANCE,0.0,244
milesFromMetropolis_bin_0-industry_HEALTH,0.0,245
milesFromMetropolis_bin_0-industry_SERVICE,0.0,246
milesFromMetropolis_bin_0-industry_WEB,0.0,247
milesFromMetropolis_bin_1-jobType_CEO,0.0,248
milesFromMetropolis_bin_1-jobType_CFO,0.0,249
milesFromMetropolis_bin_1-jobType_MANAGER,0.0,250
milesFromMetropolis_bin_1-industry_FINANCE,0.0,251
milesFromMetropolis_bin_1-jobType_SENIOR,0.0,252
milesFromMetropolis_bin_1-jobType_VICE_PRESIDENT,0.0,253
milesFromMetropolis_bin_1-degree_BACHELORS,0.0,254
milesFromMetropolis_bin_1-degree_DOCTORAL,0.0,255
milesFromMetropolis_bin_1-degree_HIGH_SCHOOL,0.0,256
milesFromMetropolis_bin_1-degree_MASTERS,0.0,257
